categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,40.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,"55,95","80,00",https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,ALL-PRO NITRO DYLAN EXHIBIT - Scarpe da basket - vivid blue tropical blue,"64,99","129,99",https://www.zalando.it/puma-all-pro-nitro-dylan-exhibit-scarpe-da-basket-vivid-blue-tropical-blue-pu142a1z4-k11.html?size=40.5
Scarpe Sportive,40.5,uomo,ASICS,GEL-VENTURE 10 - Scarpe da corsa su strada - saxon green/black,"79,99","79,99",https://www.zalando.it/asics-gel-venture-10-scarpe-da-corsa-su-strada-saxon-greenblack-as142a17t-m11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - timberwolf taupe/federal tan/metallic silver,"97,99","139,99",https://www.zalando.it/under-armour-fat-tire-venture-pro-unisex-scarpe-da-allenamento-timberwolf-taupefederal-tanmetallic-silver-un244a02z-b11.html?size=40.5
Scarpe Sportive,40.5,uomo,UNDER ARMOUR,SHADOW TURF 3 - Scarpe da calcetto con tacchetti - black/ares red,"47,99","79,99",https://www.zalando.it/under-armour-shadow-turf-3-scarpe-da-calcetto-con-tacchetti-blackares-red-un242a0ng-q11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - yellow alert black,"59,95","80,00",https://www.zalando.it/puma-darter-pro-scarpe-da-corsa-su-strada-yellow-alert-black-pu142a1y6-e11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,SCOOT ZEROS - Scarpe da basket - feather gray/wild berry,"54,99","99,99",https://www.zalando.it/puma-scoot-zeros-scarpe-da-basket-feather-graywild-berry-pu142a1z2-c11.html?size=40.5
Scarpe Sportive,40.5,uomo,NEW BALANCE,FRESH FOAM X HIERRO V9 - Scarpe da trail running - angora,"159,99","159,99",https://www.zalando.it/new-balance-hierro-v9-scarpe-da-trail-running-angora-ne242a0oc-a12.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,ALL-PRO NITRO POLAR EXPRESS - Scarpe da basket - silver mist/golden fog/club navy/intense red/yellow blaze,"69,99","139,99",https://www.zalando.it/puma-all-pro-nitro-polar-express-scarpe-da-basket-silver-mistgolden-fogclub-navyintense-redyellow-blaze-pu142a1vu-d11.html?size=40.5
Scarpe Sportive,40.5,uomo,PUMA,Scarpe da allenamento - white/black,"89,99","89,99",https://www.zalando.it/puma-unisex-scarpe-da-pallamano-whiteblack-pu144a09p-a11.html?size=40.5
