categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,49,uomo,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - indigo blue cool grey,"159,99","159,99",https://www.zalando.it/asics-gel-cumulus-27-scarpe-da-corsa-su-strada-indigo-blue-cool-grey-as142a17x-k12.html?size=49
Scarpe Sportive,49,uomo,ASICS,GT-2000 13 - Scarpe da corsa su strada - pure aqua/white,"159,99","159,99",https://www.zalando.it/asics-gt-2000-13-scarpe-da-corsa-su-strada-pure-aquawhite-as142a16c-k12.html?size=49
Scarpe Sportive,49,uomo,ASICS,GEL-KAYANO 31 - Scarpe da corsa su strada - pure aqua/pure silver,"199,99","199,99",https://www.zalando.it/asics-gel-kayano-31-scarpe-da-corsa-su-strada-pure-aquapure-silver-as142a15s-k13.html?size=49
Scarpe Sportive,49,uomo,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - white/huddle yellow,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-whitehuddle-yellow-as142a17v-a11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,FRESH FOAM X EVOZ V4 - Scarpe da corsa su strada - grey matter,"129,99","129,99",https://www.zalando.it/new-balance-x-evoz-v4-scarpe-da-corsa-su-strada-grey-matter-ne242a0of-c11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,M1000 UNISEX - Sneakers basse - silver metallic,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-silver-metallic-ne215p03n-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,UNISEX - Sneakers basse - sea stone,"169,99","169,99",https://www.zalando.it/new-balance-unisex-sneakers-basse-sea-stone-ne215p01q-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,M1000 UNISEX - Sneakers basse - dark ice wine,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-dark-ice-wine-ne215p02k-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,M1000 UNISEX  - Sneakers basse - reflection,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-reflection-ne215p03m-a11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,M1000 UNISEX - Sneakers basse - black,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-black-ne215p042-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS HOODIE UNISEX - Felpa - faded plum,"64,99","64,99",https://www.zalando.it/new-balance-sport-essentials-hoodie-unisex-felpa-con-cappuccio-faded-plum-ne222s06x-g11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS HOODIE UNISEX - Felpa - black,"64,99","64,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-brushed-hoodie-felpa-con-cappuccio-black-ne222s06x-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS HOODIE UNISEX - Felpa - athletic grey,"64,99","64,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-brushed-hoodie-felpa-con-cappuccio-athletic-grey-ne222s06x-c11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS UNISEX - T-shirt basic - faded plum,"31,99","31,99",https://www.zalando.it/new-balance-essentials-unisex-t-shirt-basic-faded-plum-ne222o0a2-g11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS LOGO UNISEX - T-shirt con stampa - black,"29,99","29,99",https://www.zalando.it/new-balance-sport-essentials-stacked-logo-t-shirt-con-stampa-black-ne222o0a1-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,SPORT ESSENTIALS JOGGER - Pantaloni sportivi - black,"54,99","54,99",https://www.zalando.it/new-balance-sport-essentials-pantaloni-sportivi-black-ne222e044-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ATHLETICS PACKABLE JACKET - Giacca leggera - slate grey,"109,99","109,99",https://www.zalando.it/new-balance-impermeabile-slate-grey-ne222t030-c11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS LOGO FULL ZIP - Felpa con zip - black,"69,99","69,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-full-zip-hoodie-felpa-con-zip-black-ne222s071-q11.html?size=49
Scarpe Sportive,49,uomo,NEW BALANCE,ESSENTIALS LOGO FULL ZIP - Felpa con zip - athletic grey,"69,99","69,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-full-zip-hoodie-felpa-con-zip-athletic-grey-ne222s071-c11.html?size=49
