categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,50.5,uomo,ASICS,FUJI SPEED 3 - Scarpe da trail running - nova orange/pure aqua,"179,99","179,99",https://www.zalando.it/asics-fuji-speed-3-scarpe-da-trail-running-nova-orangepure-aqua-as142a15x-h11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - taupe grey/black,"159,99","159,99",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-taupe-greyblack-as142a17l-b11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,MAGIC SPEED 4 - Scarpe da corsa su strada - soothing sea/black,"179,95","179,95",https://www.zalando.it/asics-magic-speed-4-scarpe-da-corsa-su-strada-soothing-seablack-as142a163-k11.html?size=50.5
Scarpe Sportive,50.5,uomo,UNDER ARMOUR,REIGN LIFTER UNISEX - Scarpe da allenamento - black/white,"199,99","199,99",https://www.zalando.it/under-armour-reign-lifter-unisex-scarpe-da-allenamento-blackwhite-un244a02f-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - black/nova orange,"159,99","159,99",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-blacknova-orange-as142a17l-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,M1000 UNISEX - Sneakers basse - silver metallic,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-silver-metallic-ne215p03n-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,UNISEX - Sneakers basse - sea stone,"169,99","169,99",https://www.zalando.it/new-balance-unisex-sneakers-basse-sea-stone-ne215p01q-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,M1000 UNISEX - Sneakers basse - dark ice wine,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-dark-ice-wine-ne215p02k-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,M1000 UNISEX  - Sneakers basse - reflection,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-reflection-ne215p03m-a11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,M1000 UNISEX - Sneakers basse - black,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-black-ne215p042-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS HOODIE UNISEX - Felpa - faded plum,"64,99","64,99",https://www.zalando.it/new-balance-sport-essentials-hoodie-unisex-felpa-con-cappuccio-faded-plum-ne222s06x-g11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS HOODIE UNISEX - Felpa - black,"64,99","64,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-brushed-hoodie-felpa-con-cappuccio-black-ne222s06x-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS HOODIE UNISEX - Felpa - athletic grey,"64,99","64,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-brushed-hoodie-felpa-con-cappuccio-athletic-grey-ne222s06x-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS UNISEX - T-shirt basic - faded plum,"31,99","31,99",https://www.zalando.it/new-balance-essentials-unisex-t-shirt-basic-faded-plum-ne222o0a2-g11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS LOGO UNISEX - T-shirt con stampa - black,"29,99","29,99",https://www.zalando.it/new-balance-sport-essentials-stacked-logo-t-shirt-con-stampa-black-ne222o0a1-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,SPORT ESSENTIALS JOGGER - Pantaloni sportivi - black,"54,99","54,99",https://www.zalando.it/new-balance-sport-essentials-pantaloni-sportivi-black-ne222e044-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ATHLETICS PACKABLE JACKET - Giacca leggera - slate grey,"109,99","109,99",https://www.zalando.it/new-balance-impermeabile-slate-grey-ne222t030-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS LOGO FULL ZIP - Felpa con zip - black,"69,99","69,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-full-zip-hoodie-felpa-con-zip-black-ne222s071-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,NEW BALANCE,ESSENTIALS LOGO FULL ZIP - Felpa con zip - athletic grey,"69,99","69,99",https://www.zalando.it/new-balance-sport-essentials-small-logo-full-zip-hoodie-felpa-con-zip-athletic-grey-ne222s071-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,SCOUT 3 - Scarpe da trail running - black,"64,99","64,99",https://www.zalando.it/asics-trail-scout-3-scarpe-da-trail-running-black-as142a11a-q12.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - indigo blue/amber,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-indigo-blueamber-as142a17k-k12.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - greyish purple/coral reef,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-greyish-purplecoral-reef-as142a17k-i11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 LITE-SHOW - Scarpe da corsa su strada - lite-show huddle yellow,"149,99","149,99",https://www.zalando.it/asics-novablast-5-lite-show-scarpe-da-corsa-su-strada-lite-show-huddle-yellow-as142a17z-e11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - nova orange/pure aqua,"159,99","159,99",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-nova-orangepure-aqua-as142a17l-h11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,FUJI LITE 5 - Scarpe da trail running - saxon green/rainy lake,"139,99","139,99",https://www.zalando.it/asics-fuji-lite-5-scarpe-da-trail-running-saxon-greenrainy-lake-as142a15u-m11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - black/carrier grey,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-blackcarrier-grey-as142a17k-q12.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - atlantis blue/pure aqua,"159,99","159,99",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-atlantis-bluepure-aqua-as142a17l-k11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - soothing sea/wave teal,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-soothing-seawave-teal-as142a17k-k11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - pure aqua/seal grey,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-pure-aquaseal-grey-as142a17k-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,SCOUT 3 - Scarpe da trail running - black/nova orange,"64,99","64,99",https://www.zalando.it/asics-scout-3-scarpe-da-trail-running-blacknova-orange-as142a11a-q15.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,MAGIC SPEED 4 - Scarpe da corsa su strada - white/black,"179,99","179,99",https://www.zalando.it/asics-magic-speed-4-scarpe-da-corsa-su-strada-whiteblack-as142a163-a12.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL TRABUCO 13  - Scarpe da trail running - black/graphite grey,"169,95","169,95",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-blackgraphite-grey-as142a17q-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,UPCOURT 6 - Scarpe da pallamano - white/vintage indigo,"57,99","64,99",https://www.zalando.it/asics-upcourt-6-scarpe-da-pallamano-whitevintage-indigo-as142a158-a11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL TRABUCO 13  - Scarpe da trail running - black/atlantis blue,"169,95","169,95",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-blackatlantis-blue-as142a17q-q12.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - wave teal/black,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-wave-tealblack-as142a17k-l11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,METARISE 2 - Scarpe da pallamano - white/indigo fog,"224,99","249,99",https://www.zalando.it/asics-metarise-2-scarpe-da-pallamano-whiteindigo-fog-as142a17g-a11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GT-2000 13 - Scarpe da corsa su strada - nature bathing/lime green,"159,99","159,99",https://www.zalando.it/asics-gt-2000-13-scarpe-da-corsa-su-strada-nature-bathinglime-green-as142a181-m11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-VENTURE 10 - Scarpe da corsa su strada - black/graphite grey,"79,99","79,99",https://www.zalando.it/asics-gel-venture-10-scarpe-da-corsa-su-strada-blackgraphite-grey-as142a17t-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - taupe grey black,"159,95","159,95",https://www.zalando.it/asics-gel-cumulus-27-scarpe-da-corsa-su-strada-taupe-grey-black-as142a17x-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 TR - Scarpe da corsa su strada - nature bathing lime green,"149,99","149,99",https://www.zalando.it/asics-novablast-5-tr-scarpe-da-corsa-su-strada-nature-bathing-lime-green-as142a17y-m11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-NIMBUS 27 TR - Scarpe da corsa su strada - nature bathing lime green,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-tr-scarpe-da-corsa-su-strada-nature-bathing-lime-green-as142a184-m11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,NOVABLAST 5 - Scarpe da corsa su strada - black/white,"149,99","149,99",https://www.zalando.it/asics-novablast-5-scarpe-da-corsa-su-strada-blackwhite-as142a17k-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GT-1000 13 TR ROAD RUNNING SHOES NATURE BATHING LIME GREEN - Scarpe da corsa su strada - nature bathing lime green,"130,00","130,00",https://www.zalando.it/asics-sneakers-basse-nature-bathing-lime-green-as112p004-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - indigo fog/denim blue,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-indigo-fogdenim-blue-as142a17v-k11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - wave teal/saxon green,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-wave-tealsaxon-green-as142a17v-p11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-EXCITE 10 - Scarpe da corsa su strada - wave teal/illuminate mint,"89,99","89,99",https://www.zalando.it/asics-gel-excite-10-scarpe-da-corsa-su-strada-wave-tealilluminate-mint-as142a112-p11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-SONOMA 8 GTX - Sneakers basse - black/carrier grey,"119,95","119,95",https://www.zalando.it/asics-gel-sonoma-8-gtx-scarpe-da-trail-running-blackcarrier-grey-as142a17p-q11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,DYNABLAST 5 - Sneakers basse - carbon/black,"129,99","129,99",https://www.zalando.it/asics-dynablast-5-scarpe-da-corsa-su-strada-carbonblack-as142a17n-c11.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-KAYANO 31 - Scarpe da corsa su strada - white sage/birch,"199,99","199,99",https://www.zalando.it/asics-gel-kayano-31-scarpe-da-corsa-su-strada-white-sagebirch-as142a15s-m12.html?size=50.5
Scarpe Sportive,50.5,uomo,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - black/coral reef,"159,99","159,99",https://www.zalando.it/asics-gel-cumulus-27-scarpe-da-corsa-su-strada-blackcoral-reef-as142a17x-q13.html?size=50.5
