categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpini Sportivi Taglia 37,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,"55,95","80,00",https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=37
Scarpini Sportivi Taglia 37,PUMA,MORPHIC - Scarpe da corsa su strada - white silver red,"55,95","80,00",https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-red-pu115o0pg-a19.html?size=37
Scarpini Sportivi Taglia 37,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,"52,95","70,00",https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,480 UNISEX - Scarpe da basket - white,"90,00","114,00",https://www.zalando.it/new-balance-480-unisex-sneakers-basse-white-ne215o05f-a12.html?size=37
Scarpini Sportivi Taglia 37,PUMA,SKYROCKET LITE - Scarpe da trail running - black/cool dark gray,"44,95","60,00",https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-blackcool-dark-gray-pu142a1xo-q11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black/flat dark gray,"52,95","70,00",https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-blackflat-dark-gray-pu142a1y5-q12.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,480 UNISEX - Scarpe da basket - prism purple,"69,99","99,99",https://www.zalando.it/new-balance-480-unisex-sneakers-basse-prism-purple-ne215o05f-c11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,POUNCE LITE - Scarpe da trail running - gold black,"38,95","55,00",https://www.zalando.it/puma-scarpe-running-neutre-gold-black-pu144a0ck-q11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,CELL THRILL UNISEX - Scarpe da allenamento - for all time red/black,"55,49","64,99",https://www.zalando.it/puma-cell-thrill-unisex-scarpe-da-allenamento-for-all-time-redblack-pu144a0by-g11.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,530 - Scarpe da corsa su strada - grey beige,"120,00","120,00",https://www.zalando.it/new-balance-sneakers-basse-grey-beige-ne242a0o4-c11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - yellow alert/black,"52,95","70,00",https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-yellow-alertblack-pu142a1y5-e11.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,480 UNISEX - Scarpe da basket - varsity gold,"54,99","99,99",https://www.zalando.it/new-balance-480-unisex-sneakers-basse-varsity-gold-ne215o05f-e11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,STEWIE 2 CHERRY ON TOP - Scarpe da basket - mauved out/magenta gleam,"65,99","119,99",https://www.zalando.it/puma-scarpe-da-basket-mauved-outmagenta-gleam-pu142a1v3-q11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,SKYROCKET LITE - Scarpe da trail running - loden green black,"41,95","60,00",https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-loden-green-black-pu142a1xo-m11.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,480 UNISEX - Scarpe da basket - white,"89,99","99,99",https://www.zalando.it/new-balance-480l-unisex-sneakers-basse-white-ne215o05f-q13.html?size=37
Scarpini Sportivi Taglia 37,PUMA,RETALIATE 3 - Scarpe da corsa su strada - for all time red black,"59,95","75,00",https://www.zalando.it/puma-retaliate-scarpe-da-corsa-stabili-for-all-time-red-black-pu115o0wk-g11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - black/cool dark gray,"56,95","65,00",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-blackcool-dark-gray-pu115o0nn-q11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - black/white,"48,95","65,00",https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-blackwhite-pu144a0cm-q11.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,KAWHI IV  - Scarpe da basket - black,"109,99","169,99",https://www.zalando.it/new-balance-kawhi-iv-scarpe-da-basket-black-ne242a0j9-a13.html?size=37
Scarpini Sportivi Taglia 37,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/silver,"57,99","64,99",https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitesilver-pu115o0nn-a11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - galactic gray/green glare/green moon,"55,49","64,99",https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-galactic-graygreen-glaregreen-moon-pu144a0cm-c11.html?size=37
Scarpini Sportivi Taglia 37,NEW BALANCE,480 UNISEX - Scarpe da basket - dark mushroom,"99,99","99,99",https://www.zalando.it/new-balance-480l-unisex-sneakers-basse-dark-mushroom-ne215o05f-b11.html?size=37
Scarpini Sportivi Taglia 37,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,"55,95","70,00",https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=37
