categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpini Sportivi Taglia 47,PUMA,FUTURE 7 MATCH IT - Scarpe da calcetto - bluemazing/white/electric peppermint,"75,56","89,95",https://www.zalando.it/puma-future-7-match-it-scarpe-da-calcetto-bluemazingwhiteelectric-peppermint-pu142a1tj-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FAST TRAC NITRO GTX  - Scarpe da trail running - black,"150,00","150,00",https://www.zalando.it/puma-scarpe-da-trail-running-black-pu142a21c-q11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,MAGNIFY NITRO 2 - Scarpe da corsa su strada - white\pure magenta\yellow alert,"149,99","149,99",https://www.zalando.it/puma-magnify-nitro-2-scarpe-da-corsa-su-strada-whitepure-magentayellow-alert-pu142a1y9-a11.html?size=47
Scarpini Sportivi Taglia 47,PUMA GOLF,FUSION CRUSH   - Scarpe da golf - white/dark coal,"99,99","99,99",https://www.zalando.it/puma-golf-fusion-crush-sport-scarpe-da-golf-whitedark-coal-pu542a03s-a11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da corsa su strada - black/anthracite/white,"129,99","129,99",https://www.zalando.it/under-armour-infinite-pro-2-scarpe-running-neutre-blackanthracitewhite-un242a0nd-q11.html?size=47
Scarpini Sportivi Taglia 47,PUMA GOLF,GS-X EFEKT - Scarpe da golf - white gray tile red blast,"130,00","130,00",https://www.zalando.it/puma-golf-gs-x-efekt-scarpe-da-golf-white-gray-tile-red-blast-pu542a03o-a12.html?size=47
Scarpini Sportivi Taglia 47,PUMA,DEVIATE NITRO - Scarpe da corsa su strada - black white,"170,00","170,00",https://www.zalando.it/puma-scarpe-running-neutre-black-white-pu142a1xu-q12.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GT-1000 13 - Scarpe da corsa su strada - illusion blue white,"130,00","130,00",https://www.zalando.it/asics-scarpe-da-corsa-su-strada-illusion-blue-white-as142a172-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FUTURE 8 ULTIMATE MXSG - Scarpe da calcio con tacchetti - black cool light gray fluo green,"184,99","229,99",https://www.zalando.it/puma-future-8-ultimate-mxsg-scarpe-da-calcio-con-tacchetti-black-cool-light-gray-fluo-green-pu142a1w8-q12.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,FRESH X MORE V4 - Scarpe da corsa su strada - black cement,"169,99","169,99",https://www.zalando.it/new-balance-fresh-foam-x-more-v5-scarpe-da-corsa-su-strada-black-cement-ne242a0hg-q15.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - indigo fog/denim blue,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-indigo-fogdenim-blue-as142a17v-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FOREVERRUN NITRO - Scarpe da trail running - yellow alert black,"160,00","160,00",https://www.zalando.it/puma-scarpe-da-trail-running-yellow-alert-black-pu142a23j-e11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FOREVERRUN NITRO - Scarpe da trail running - black pure magenta,"160,00","160,00",https://www.zalando.it/puma-scarpe-da-trail-running-black-pure-magenta-pu142a23j-q11.html?size=47
Scarpini Sportivi Taglia 47,MIZUNO,WAVE LIGHTNING Z8 - Scarpe da pallavolo - neo lime/black/splish splash,"133,07","160,00",https://www.zalando.it/mizuno-wave-lightning-z8-scarpe-da-pallavolo-neo-limeblacksplish-splash-m2742a0hv-m11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FOREVERRUN NITRO - Scarpe da trail running - cool weather yellow alert,"159,95","159,95",https://www.zalando.it/puma-scarpe-da-trail-running-cool-weather-yellow-alert-pu142a23j-k11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - black lake grey,"200,00","200,00",https://www.zalando.it/asics-sneakers-basse-black-lake-grey-as112p002-q11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-KAYANO 31 - Scarpe da corsa su strada - indigo blue/gunmetal,"199,99","199,99",https://www.zalando.it/asics-gel-kayano-31-scarpe-da-corsa-su-strada-indigo-bluegunmetal-as142a15s-k12.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - black/ares red,"99,99","99,99",https://www.zalando.it/under-armour-infinite-scarpe-running-neutre-blackares-red-un242a0mg-q12.html?size=47
Scarpini Sportivi Taglia 47,PUMA,ALL PRO NITRO MEDIA DAY - Scarpe da basket - black  white for all time red,"90,95","130,00",https://www.zalando.it/puma-all-pro-nitro-media-day-scarpe-da-basket-black-white-for-all-time-red-pu142a1vl-q11.html?size=47
Scarpini Sportivi Taglia 47,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - nimbus cloud/blue pace/ignition red,"159,99","159,99",https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-nimbus-cloudblue-paceignition-red-m2742a0ja-c11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FUTURE 7 PRO FG/AG - Scarpe da calcetto con tacchetti - gray skies/white/fizzy apple,"117,56","139,95",https://www.zalando.it/puma-future-7-pro-fgag-scarpe-da-calcetto-con-tacchetti-gray-skieswhitefizzy-apple-pu142a1tk-k12.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - black concrete,"159,95","159,95",https://www.zalando.it/asics-gel-scarpe-da-corsa-su-strada-black-concrete-as142a17x-q12.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - electric blue/anthracite/stream,"159,99","159,99",https://www.zalando.it/under-armour-infinite-elite-2-scarpe-running-neutre-electric-blueanthracitestream-un242a0n9-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,DEVIATE NITRO 3 - Scarpe da corsa su strada - blue crystal puma black,"170,00","170,00",https://www.zalando.it/puma-scarpe-da-corsa-su-strada-blue-crystal-puma-black-pu142a21p-k11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE MVMNT SE - Scarpe da allenamento - white/metallic silver,"90,99","129,99",https://www.zalando.it/under-armour-infinite-se-unisex-scarpe-da-allenamento-whitemetallic-silver-un244a030-a11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-TASK 4 - Scarpe da pallamano - white/indigo fog,"80,99","89,99",https://www.zalando.it/asics-gel-task-4-scarpe-da-pallamano-whiteindigo-fog-as142a15b-a12.html?size=47
Scarpini Sportivi Taglia 47,ASICS,FUJI LITE 5 - Scarpe da trail running - saxon green/rainy lake,"139,99","139,99",https://www.zalando.it/asics-fuji-lite-5-scarpe-da-trail-running-saxon-greenrainy-lake-as142a15u-m11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-SONOMA 8 GTX - Sneakers basse - black/carrier grey,"119,95","119,95",https://www.zalando.it/asics-gel-sonoma-8-gtx-scarpe-da-trail-running-blackcarrier-grey-as142a17p-q11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-SONOMA 7 GTX - Scarpe da trail running - black/safety yellow,"96,00","120,00",https://www.zalando.it/asics-gel-sonoma-7-gtx-scarpe-da-trail-running-blacksafety-yellow-as142a0zl-q14.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,PHANTOM 4 UNISEX - Scarpe da corsa su strada - anthracite,"130,00","130,00",https://www.zalando.it/under-armour-phantom-4-unisex-scarpe-da-corsa-su-strada-anthracite-un244a028-c13.html?size=47
Scarpini Sportivi Taglia 47,PUMA,ULTRA 5 PRO FG/AG - Scarpe da calcetto con tacchetti - fizzy apple/white/bluemazing,"117,56","139,95",https://www.zalando.it/puma-ultra-5-pro-fgag-scarpe-da-calcetto-con-tacchetti-fizzy-applewhitebluemazing-pu142a1th-m11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,JET '23 - Scarpe da basket - mod gray/ares red/white,"75,99","84,99",https://www.zalando.it/under-armour-jet-23-scarpe-da-basket-mod-grayares-redwhite-un242a0lg-c13.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,FRESH FOAM X HIERRO V8 - Scarpe da trail running - black shadow grey,"160,00","160,00",https://www.zalando.it/new-balance-fresh-foam-x-hierro-v8-scarpe-da-corsa-stabili-black-shadow-grey-ne242a0mp-q14.html?size=47
Scarpini Sportivi Taglia 47,PUMA,FOREVERRUN NITRO - Scarpe da trail running - black galactic gray,"160,00","160,00",https://www.zalando.it/puma-scarpe-da-trail-running-black-galactic-gray-pu142a23j-q12.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - white,"160,00","160,00",https://www.zalando.it/under-armour-infinite-elite-scarpe-da-corsa-su-strada-white-un242a0n9-a11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,ULTRA 5 MATCH LACELESS FG/AG - Scarpe da calcetto con tacchetti - lapis lazuli/white/sunset glow,"46,99","94,99",https://www.zalando.it/puma-ultra-5-match-fgag-scarpe-da-calcetto-con-tacchetti-lapis-lazuliwhitesunset-glow-pu142a1u9-k11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-CUMULUS 25 - Scarpe da corsa su strada - midnight/cilantro,"128,00","160,00",https://www.zalando.it/asics-gel-cumulus-25-scarpe-running-neutre-midnightcilantro-as142a0zc-q11.html?size=47
Scarpini Sportivi Taglia 47,MIZUNO,MORELIA II CLUB - Scarpe da calcetto con tacchetti - galaxy silver/gold,"74,99","74,99",https://www.zalando.it/mizuno-morelia-ii-club-scarpe-da-calcetto-con-tacchetti-galaxy-silvergold-m2742a0jp-d11.html?size=47
Scarpini Sportivi Taglia 47,JOMA,ACE - Sneakers basse - blue/mint/orange,"129,99","129,99",https://www.zalando.it/joma-da-tennis-per-terra-battuta-bluemintorange-j3342a0ld-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,KING ULTIMATE FG/AG - Scarpe da calcetto con tacchetti - black/copper rose,"104,99","209,99",https://www.zalando.it/puma-king-ultimate-fgag-scarpe-da-calcetto-con-tacchetti-blackcopper-rose-pu142a1ho-q13.html?size=47
Scarpini Sportivi Taglia 47,PUMA,ELECTRIFY NITRO 4 - Scarpe da corsa su strada - black/yellow alert/feather gray,"99,99","99,99",https://www.zalando.it/puma-electrify-nitro-4-scarpe-da-corsa-su-strada-blackyellow-alertfeather-gray-pu142a1yw-q11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-SONOMA 8 - Scarpe da trail running - black lake grey,"90,00","100,00",https://www.zalando.it/asics-sneakers-basse-black-lake-grey-as112p006-q11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - white,"99,99","99,99",https://www.zalando.it/under-armour-scarpe-running-neutre-white-un242a0mg-a12.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,MAGNETICO ELITE 3 FG - Scarpe da calcio con tacchetti - purple,"209,97","249,95",https://www.zalando.it/under-armour-magnetico-elite-3-fg-scarpe-da-calcio-con-tacchetti-purple-un244a02u-i11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da corsa su strada - white/electric blue/anthracite,"129,99","129,99",https://www.zalando.it/under-armour-infinite-pro-2-scarpe-running-neutre-whiteelectric-blueanthracite-un242a0nd-a11.html?size=47
Scarpini Sportivi Taglia 47,UNDER ARMOUR,JET '23 - Scarpe da basket - electric blue,"58,97","85,00",https://www.zalando.it/under-armour-jet-scarpe-da-basket-electric-blue-un242a0lg-k12.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-NIMBUS 27 - Scarpe da corsa su strada - wave teal/saxon green,"199,99","199,99",https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-wave-tealsaxon-green-as142a17v-p11.html?size=47
Scarpini Sportivi Taglia 47,NEW BALANCE,FUELCELL VENYM - Sneakers basse - black,"139,99","139,99",https://www.zalando.it/new-balance-fuelcell-venym-scarpe-da-trail-running-black-ne242a0m9-q11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,DYNABLAST 5 - Sneakers basse - indigo blue/black,"129,99","129,99",https://www.zalando.it/asics-dynablast-5-scarpe-da-corsa-su-strada-indigo-blueblack-as142a17n-k11.html?size=47
Scarpini Sportivi Taglia 47,PUMA,VOYAGE NITRO  - Scarpe da trail running - black- silver,"140,00","140,00",https://www.zalando.it/puma-voyage-nitro-scarpe-da-trail-running-black-silver-pu142a1xw-q11.html?size=47
Scarpini Sportivi Taglia 47,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - atlantis blue/pure aqua,"159,99","159,99",https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-atlantis-bluepure-aqua-as142a17l-k11.html?size=47
