nome_prodotto,taglie_disponibili,modello_taglie,sport_taglie,colori
REIGN 6 - Scarpe da allenamento - anthracite/black/steel,"['40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '48.5']",REIGN 6,Scarpe da allenamento,anthracite/black/steel
CHARGED COMMIT TR 4 - Scarpe da allenamento - black,"['40', '41', '42', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5']",CHARGED COMMIT TR 4,Scarpe da allenamento,black
COURT 96 - Scarpe da allenamento - black,"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '48.5']",COURT 96,Scarpe da allenamento,black
REIGN 6 - Scarpe da allenamento - black,"['40', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '48.5', '49.5']",REIGN 6,Scarpe da allenamento,black
Scarpe da corsa su strada - black anthracite castlerock,"['40', '41', '42', '42.5', '43', '44', '44.5', '45', '46', '47', '47.5']",Scarpe da corsa su strada,black anthracite castlerock,
PHANTOM 4 UNISEX - Scarpe da corsa su strada - black,"['41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47.5']",PHANTOM 4 UNISEX,Scarpe da corsa su strada,black
CHARGED SPEED SWIFT - Scarpe da allenamento - blk noir,"['37.5', '38', '38.5', '39', '40', '40.5']",CHARGED SPEED SWIFT,Scarpe da allenamento,blk noir
APPARITION - Scarpe da allenamento - white,"['37.5', '38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",APPARITION,Scarpe da allenamento,white
CHARGED SURGE 4 - Scarpe da allenamento - bianco,"['40', '40.5', '42.5', '43', '45.5', '46']",CHARGED SURGE 4,Scarpe da allenamento,bianco
FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - silica green summit white/metallic silver,"['41', '42', '42.5', '43', '44', '44.5', '45', '47', '47.5', '48.5']",FAT TIRE VENTURE PRO UNISEX,Scarpe da allenamento,silica green summit white/metallic silver
APPARITION - Scarpe da allenamento - white/castlerock/ares red,"['36', '37.5', '38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '49.5']",APPARITION,Scarpe da allenamento,white/castlerock/ares red
REIGN 6 - Scarpe da allenamento - hydro green silica green black,"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '48.5']",REIGN 6,Scarpe da allenamento,hydro green silica green black
CHARGED EDGE FITNESS - Scarpe da allenamento - blk gry noir,"['41', '42', '42.5', '43', '44', '44.5', '45']",CHARGED EDGE FITNESS,Scarpe da allenamento,blk gry noir
CHARGED COMMIT TR 4 - Scarpe da allenamento - anthracite/steel/ether blue,"['42.5', '43', '44', '44.5', '45', '45.5', '46', '47']",CHARGED COMMIT TR 4,Scarpe da allenamento,anthracite/steel/ether blue
APPARITION - Scarpe da allenamento - hydro green,"['37.5', '38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '48.5']",APPARITION,Scarpe da allenamento,hydro green
APPARITION - Scarpe da allenamento - black/metallic black/castlerock,"['36', '36.5', '37.5', '38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '49.5']",APPARITION,Scarpe da allenamento,black/metallic black/castlerock
PHANTOM 4 UNISEX - Scarpe da corsa su strada - anthracite,"['41', '42', '42.5', '44', '44.5', '45', '45.5', '46', '47']",PHANTOM 4 UNISEX,Scarpe da corsa su strada,anthracite
CHARGED BANDIT TR 3 - Scarpe da corsa su strada - castlerock/anthracite/high vis yellow,"['40.5', '41', '42', '42.5', '43', '44', '45.5', '46', '47']",CHARGED BANDIT TR 3,Scarpe da corsa su strada,castlerock/anthracite/high vis yellow
INFINITE - Scarpe da corsa su strada - black,"['40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47']",INFINITE,Scarpe da corsa su strada,black
CHARGED BANDIT TR 3 - Scarpe da corsa su strada - downpour gray/harbor blue/hyper green,"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '48.5', '49.5']",CHARGED BANDIT TR 3,Scarpe da corsa su strada,downpour gray/harbor blue/hyper green
JET '23 - Scarpe da basket - black,"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5']",JET '23,Scarpe da basket,black
INFINITE - Scarpe da corsa su strada - black/ares red,"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5', '48.5', '49.5']",INFINITE,Scarpe da corsa su strada,black/ares red
FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - timberwolf taupe/federal tan/metallic silver,"['38', '38.5', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46', '47', '47.5']",FAT TIRE VENTURE PRO UNISEX,Scarpe da allenamento,timberwolf taupe/federal tan/metallic silver
REIGN 6 - Scarpe da allenamento - white/distant gray/black,"['41', '42', '42.5', '43', '44', '45', '45.5', '46', '47', '47.5', '48.5', '49.5']",REIGN 6,Scarpe da allenamento,white/distant gray/black
M1000 UNISEX - Sneakers basse - silver metallic,,M1000 UNISEX,Sneakers basse,silver metallic
UNISEX - Sneakers basse - sea stone,,UNISEX,Sneakers basse,sea stone
M1000 UNISEX - Sneakers basse - dark ice wine,,M1000 UNISEX,Sneakers basse,dark ice wine
M1000 UNISEX  - Sneakers basse - reflection,,M1000 UNISEX,Sneakers basse,reflection
M1000 UNISEX - Sneakers basse - black,,M1000 UNISEX,Sneakers basse,black
ESSENTIALS HOODIE UNISEX - Felpa - faded plum,,ESSENTIALS HOODIE UNISEX,Felpa,faded plum
ESSENTIALS HOODIE UNISEX - Felpa - black,,ESSENTIALS HOODIE UNISEX,Felpa,black
ESSENTIALS HOODIE UNISEX - Felpa - athletic grey,,ESSENTIALS HOODIE UNISEX,Felpa,athletic grey
ESSENTIALS UNISEX - T-shirt basic - faded plum,,ESSENTIALS UNISEX,T,shirt basic - faded plum
ESSENTIALS LOGO UNISEX - T-shirt con stampa - black,,ESSENTIALS LOGO UNISEX,T,shirt con stampa - black
SPORT ESSENTIALS JOGGER - Pantaloni sportivi - black,,SPORT ESSENTIALS JOGGER,Pantaloni sportivi,black
ATHLETICS PACKABLE JACKET - Giacca leggera - slate grey,,ATHLETICS PACKABLE JACKET,Giacca leggera,slate grey
ESSENTIALS LOGO FULL ZIP - Felpa con zip - black,,ESSENTIALS LOGO FULL ZIP,Felpa con zip,black
ESSENTIALS LOGO FULL ZIP - Felpa con zip - athletic grey,,ESSENTIALS LOGO FULL ZIP,Felpa con zip,athletic grey
ULTRABOOST 5 - Scarpe da corsa su strada - black/white,,ULTRABOOST 5,Scarpe da corsa su strada,black/white
SUPERNOVA RISE 2  - Scarpe da corsa su strada - black/white,,SUPERNOVA RISE 2,Scarpe da corsa su strada,black/white
ULTRABOOST 5 - Scarpe da corsa su strada - footwear white/crystal white,,ULTRABOOST 5,Scarpe da corsa su strada,footwear white/crystal white
ULTRABOOST 5 - Scarpe da corsa su strada - footwear white/glory grey/lucid pink,,ULTRABOOST 5,Scarpe da corsa su strada,footwear white/glory grey/lucid pink
ULTRABOOST 5 - Scarpe da corsa su strada - core black   night metallic   night flash,,ULTRABOOST 5,Scarpe da corsa su strada,core black   night metallic   night flash
ADISTAR 3 - Scarpe da corsa su strada - white/grey/lucid lemon,,ADISTAR 3,Scarpe da corsa su strada,white/grey/lucid lemon
SUPERNOVA RISE 2  - Scarpe da corsa su strada - core black/glory green,,SUPERNOVA RISE 2,Scarpe da corsa su strada,core black/glory green
ULTRABOOST 5 - Scarpe da corsa su strada - lucid lemon/core black/lucid lemon,,ULTRABOOST 5,Scarpe da corsa su strada,lucid lemon/core black/lucid lemon
ULTRABOOST 5 - Scarpe da corsa su strada - coreblack/footwear white/iron metallic,,ULTRABOOST 5,Scarpe da corsa su strada,coreblack/footwear white/iron metallic
ULTRABOOST 5 - Scarpe da corsa su strada - core black,,ULTRABOOST 5,Scarpe da corsa su strada,core black
ADISTAR 3 - Scarpe da corsa su strada - white/black/gresix,,ADISTAR 3,Scarpe da corsa su strada,white/black/gresix
SUPERNOVA RISE 2  - Scarpe da corsa su strada - beige,,SUPERNOVA RISE 2,Scarpe da corsa su strada,beige
ULTRABOOST 5 - Scarpe da corsa su strada - green/crystal jade/pulse lime,,ULTRABOOST 5,Scarpe da corsa su strada,green/crystal jade/pulse lime
ADISTAR 3 - Scarpe da corsa su strada - core black/footwear white/grey six,,ADISTAR 3,Scarpe da corsa su strada,core black/footwear white/grey six
SUPERNOVA RISE 2  - Scarpe da corsa su strada - footwear white/zero metallic/pulse lime,,SUPERNOVA RISE 2,Scarpe da corsa su strada,footwear white/zero metallic/pulse lime
