categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO - Scarpe da corsa su strada - cardinal,"77,97","130,00",https://www.zalando.it/under-armour-infinite-pro-scarpe-running-neutre-cardinal-un242a0ld-g11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - castlerock/anthracite/horizon blue,"79,97","100,00",https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-castlerockanthracitehorizon-blue-un242a0mi-c11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CURRY - Scarpe da basket - white l,"150,00","150,00",https://www.zalando.it/under-armour-sneakers-basse-white-l-un215o006-a11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da allenamento - grn vert,"48,75","48,75",https://www.zalando.it/under-armour-sneakers-basse-grn-vert-un211a00m-m11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,APPARITION - Scarpe da allenamento - coyote/coyote brown/black,"64,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-coyotecoyote-brownblack-un244a02e-o11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,JET '23 - Scarpe da basket - black,"52,00","65,00",https://www.zalando.it/under-armour-performance-gs-jet-23-scarpe-da-basket-black-un243a04a-q13.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - white,"75,00","75,00",https://www.zalando.it/under-armour-performance-lockdown-scarpe-da-basket-white-un244a02y-a11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,PERFORMANCE SPAWN 6 CAMO - Scarpe da basket - silt,"69,97","100,00",https://www.zalando.it/under-armour-performance-spawn-scarpe-da-basket-silt-un241a0e5-b11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 3 - Scarpe da corsa su strada - white,"65,00","65,00",https://www.zalando.it/under-armour-charged-pursuit-3-scarpe-running-neutre-white-un242a0i3-a12.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,UNISEX  - Scarpe da allenamento - black,"89,97","150,00",https://www.zalando.it/under-armour-sneakers-basse-black-un244a02j-q11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da camminata - black,"100,00","100,00",https://www.zalando.it/under-armour-scarpe-running-neutre-black-un242a0n0-q11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,SHADOW ELITE 2.0 FG - Scarpe da calcetto con tacchetti - black/castlerock/halo gray,"193,17","229,95",https://www.zalando.it/under-armour-shadow-elite-20-fg-scarpe-da-calcetto-con-tacchetti-blackcastlerockhalo-gray-un242a0lp-q11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da corsa su strada - white distant gray halo gray,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-white-distant-gray-halo-gray-un242a0n1-a11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,PHANTOM 4 STORM - Scarpe da allenamento - distant gray/white/black,"126,99","149,99",https://www.zalando.it/under-armour-phantom-4-storm-scarpe-da-allenamento-distant-graywhiteblack-un244a02h-c11.html
Scarpini Sportivi Under Armour,UNDER ARMOUR,CLONE MAGNETICO PRO3.0 FG - Scarpe da calcetto con tacchetti - celeste,"109,16","129,95",https://www.zalando.it/under-armour-clone-magnetico-pro-scarpe-da-calcetto-con-tacchetti-celeste-un242a0ls-k11.html
