categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,35,donna,NEW BALANCE,DYNASOFT NITREL V6 GTX - Scarpe da trail running - blue,"119,99","119,99",https://www.zalando.it/new-balance-dynasoft-nitrel-v6-gtx-scarpe-da-trail-running-blue-ne241a0er-k12.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,FRESH FOAM X HIERRO V9 - Scarpe da trail running - olivine,"159,99","159,99",https://www.zalando.it/new-balance-fresh-foam-x-hierro-v9-scarpe-da-trail-running-olivine-ne241a0he-n12.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,GAROÉ V2 - Sneakers basse - dream state,"119,99","119,99",https://www.zalando.it/new-balance-fresh-foam-x-garoe-v2-scarpe-da-trail-running-dream-state-ne241a0hf-k11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,TEKTREL - Scarpe da trail running - sea salt,"109,99","109,99",https://www.zalando.it/new-balance-tektrel-scarpe-da-trail-running-sea-salt-ne241a0hm-a11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,TEKTREL - Scarpe da trail running - phantom,"109,99","109,99",https://www.zalando.it/new-balance-tektrel-scarpe-da-trail-running-phantom-ne241a0hm-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,FUELCELL REBEL V4 - Scarpe da corsa su strada - twilight haze,"159,99","159,99",https://www.zalando.it/new-balance-fuelcell-rebel-v4-scarpe-da-corsa-su-strada-twilight-haze-ne241a0hn-j11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - dark ice wine,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-dark-ice-wine-ne215p02k-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - silver metallic,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-silver-metallic-ne215p03n-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,UNISEX - Sneakers basse - sea stone,"169,99","169,99",https://www.zalando.it/new-balance-unisex-sneakers-basse-sea-stone-ne215p01q-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,M1000 UNISEX  - Sneakers basse - reflection,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-reflection-ne215p03m-a11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - black,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-black-ne215p042-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - ice wine,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-ice-wine-ne215p04a-i11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,M1000 UNISEX - Sneakers basse - woodland,"169,99","169,99",https://www.zalando.it/new-balance-m1000-unisex-sneakers-basse-woodland-ne215p032-n11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,SPORT ESSENTIALS JACKET - Giacca leggera - black,"74,99","74,99",https://www.zalando.it/new-balance-sport-essentials-jacket-giacca-leggera-black-ne221g019-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,WIDE LEG JOGGER - Pantaloni sportivi - black,"59,99","59,99",https://www.zalando.it/new-balance-wide-leg-jogger-pantaloni-sportivi-black-ne221a03i-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,HARMONY HIGH RISE SHORT  - Collant - black,"44,99","44,99",https://www.zalando.it/new-balance-harmony-high-rise-short-collant-black-ne241e09l-q11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,LINEAR JACKET - Giubbotto Bomber - dockside,"89,99","89,99",https://www.zalando.it/new-balance-linear-jacket-giubbotto-bomber-dockside-ne221u00f-o11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,TEKTREL - Scarpe da trail running - grey matter,"109,99","109,99",https://www.zalando.it/new-balance-tektrel-scarpe-da-trail-running-grey-matter-ne241a0hm-c12.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,GAROÉ V2 - Sneakers basse - calcium,"119,99","119,99",https://www.zalando.it/new-balance-fresh-foam-x-garoe-v2-scarpe-da-trail-running-calcium-ne241a0hf-a11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,FRESH FOAM ARISHI - Scarpe da corsa su strada - sea salt,"99,99","99,99",https://www.zalando.it/new-balance-fresh-foam-arishi-v4-scarpe-da-corsa-su-strada-sea-salt-ne241a0hk-c11.html?size=35
Scarpe Sportive,35,donna,NEW BALANCE,FUELCELL REBEL V4 - Scarpe da corsa su strada - hot mango,"159,99","159,99",https://www.zalando.it/new-balance-fuelcell-rebel-v4-scarpe-da-corsa-su-strada-hot-mango-ne241a0hn-h11.html?size=35
